E:\hovahyii\.agent-work\s-19949f13\summarize.py:6: DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.fromtimestamp(timestamp, datetime.UTC).
  return datetime.datetime.utcfromtimestamp(ms/1000).strftime('%Y-%m-%d %H:%M')
2026-06-24 04:17 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list！It hasn't been updated recently. https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-06-25 06:48 | g50056879 | TEXT_MSG | 25/6/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-25 06:48 | g50056879 | TEXT_MSG | Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-06-25 06:50 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-06-26 03:23 | g50056879 | IMAGESPAN_MSG | [IMG]26/6/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-26 03:23 | g50056879 | IMAGESPAN_MSG | [IMG]Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-06-26 03:23 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-06-29 08:54 | g50056879 | TEXT_MSG | 29/6/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-29 08:55 | g50056879 | IMAGESPAN_MSG | [IMG]Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-06-29 08:55 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-06-30 06:10 | g50056879 | TEXT_MSG | 30/6/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-30 06:10 | g50056879 | TEXT_MSG | Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-06-30 06:10 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-01 08:35 | g50056879 | TEXT_MSG | 1/7/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are rem
2026-07-01 08:35 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-02 04:18 | g50056879 | IMAGESPAN_MSG | [IMG]2/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-02 04:19 | g50056879 | TEXT_MSG | Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-02 04:19 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-03 06:39 | g50056879 | IMAGESPAN_MSG | [IMG]3/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-03 06:39 | g50056879 | TEXT_MSG | Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-03 06:39 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-06 01:19 | y00816842 | TEXT_MSG | @Gan Serene we do not have anymore COPA80 sites. You need us to provide inputs for COPA90 sites?
2026-07-06 01:30 | g50056879 | TEXT_MSG | yes
2026-07-06 06:04 | g50056879 | TEXT_MSG | 6/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are remo
2026-07-06 06:04 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-08 07:46 | g50056879 | IMAGESPAN_MSG | [IMG]8/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-08 07:46 | g50056879 | TEXT_MSG | Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-08 07:46 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-09 07:08 | g50056879 | IMAGESPAN_MSG | [IMG]9/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-09 07:08 | g50056879 | IMAGESPAN_MSG | [IMG]Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-09 07:08 | g50056879 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
